DofW,DB,Stress,mType,mDevice
M,47,3,rap,airpods
T,51,6,indie,airpods
W,48,3,indie,airpods
TH,47,7,indie,airpods
F,75,5,randb,airpods
S,63,2,randb,airpods
SD,58,4,indie,airpods
M,35,6,randb,airpods
T,54,6,rap,airpods
W,49,3,indie,airpods
TH,38,3,indie,airpods
F,39,3,indie,airpods
S,45,2,indie,airpods
SD,53,2,pop,airpods
M,58,6,pop,airpods
T,33,3,pop,speaker
W,47,3,pop,airpods
TH,52,7,indie,airpods
F,42,5,indie,airpods
S,47,2,randb,airpods
SD,43,4,randb,speakers
M,47,3,rap,airpods
T,46,1,indie,airpods
W,41,5,indie,airpods
TH,61,7,indie,airpods
F,48,8,randb,airpods
S,41,2,randb,airpods
SD,44,1,indie,airpods
M,57,6,rap,airpods
T,54,4,rap,airpods
W,50,4,rap,airpods
TH,49,9,classical,airpods
F,66,1,rap,airpods
S,61,2,randb,speakers
SD,60,2,indie,airpods
M,57,7,classical,airpods
T,54,4,classical,airpods
W,61,3,randb,airpods
TH,57,3,randb,airpods
F,48,2,pop,airpods
S,53,2,pop,airpods
SD,33,6,pop,airpods
M,57,5,rap,airpods
T,66,6,randb,airpods
W,64,3,indie,airpods
TH,74,9,randb,airpods
F,56,5,randb,airpods
S,45,1,randb,airpods
SD,85,1,randb,speakers
M,56,3,rap,airpods
T,68,6,indie,airpods
W,61,3,rap,airpods
TH,47,7,pop,airpods
F,48,5,pop,airpods
S,55,5,indie,airpods
SD,45,3,indie,airpods
M,32,1,indie,airpods
T,51,8,indie,airpods
W,56,2,indie,airpods
TH,65,8,indie,airpods
F,68,8,randb,airpods
S,71,2,indie,airpods
SD,57,1,randb,airpods